;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;category
413;9.9;0.4;0.53;6.7;0.09699999999999999;6.0;19.0;0.9986;3.27;0.82;11.7;7;1
414;8.8;0.52;0.34;2.7;0.087;24.0;122.0;0.9982;3.26;0.61;9.5;5;0
415;8.6;0.725;0.24;6.6;0.11699999999999999;31.0;134.0;1.0014;3.32;1.07;9.3;5;0
417;7.0;0.58;0.12;1.9;0.091;34.0;124.0;0.9956;3.44;0.48;10.5;5;0
419;6.8;0.77;0.0;1.8;0.066;34.0;52.0;0.9976;3.62;0.68;9.9;5;0
420;9.5;0.56;0.33;2.4;0.08900000000000001;35.0;67.0;0.9972;3.28;0.73;11.8;7;1
421;6.6;0.84;0.03;2.3;0.059000000000000004;32.0;48.0;0.9952;3.52;0.56;12.3;7;1
422;7.7;0.96;0.2;2.0;0.047;15.0;60.0;0.9955;3.36;0.44;10.9;5;0
423;10.5;0.24;0.47;2.1;0.066;6.0;24.0;0.9978;3.15;0.9;11.0;7;1
424;7.7;0.96;0.2;2.0;0.047;15.0;60.0;0.9955;3.36;0.44;10.9;5;0
425;6.6;0.84;0.03;2.3;0.059000000000000004;32.0;48.0;0.9952;3.52;0.56;12.3;7;1
428;9.1;0.52;0.33;1.3;0.07;9.0;30.0;0.9978;3.24;0.6;9.3;5;0
430;10.5;0.24;0.47;2.1;0.066;6.0;24.0;0.9978;3.15;0.9;11.0;7;1
431;7.8;0.55;0.35;2.2;0.07400000000000001;21.0;66.0;0.9974;3.25;0.56;9.2;5;0
433;12.3;0.39;0.63;2.3;0.091;6.0;18.0;1.0004;3.16;0.49;9.5;5;0
435;12.3;0.39;0.63;2.3;0.091;6.0;18.0;1.0004;3.16;0.49;9.5;5;0
439;7.0;0.62;0.18;1.5;0.062;7.0;50.0;0.9951;3.08;0.6;9.3;5;0
440;12.6;0.31;0.72;2.2;0.07200000000000001;6.0;29.0;0.9987;2.88;0.82;9.8;8;1
442;15.6;0.685;0.76;3.7;0.1;6.0;43.0;1.0032;2.95;0.68;11.2;7;1
443;10.0;0.44;0.49;2.7;0.077;11.0;19.0;0.9963;3.23;0.63;11.6;7;1
444;5.3;0.57;0.01;1.7;0.054000000000000006;5.0;27.0;0.9934;3.57;0.84;12.5;7;1
446;12.5;0.38;0.6;2.6;0.081;31.0;72.0;0.9996;3.1;0.73;10.5;5;0
447;9.3;0.48;0.29;2.1;0.127;6.0;16.0;0.9968;3.22;0.72;11.2;5;0
453;10.4;0.33;0.63;2.8;0.084;5.0;22.0;0.9998;3.26;0.74;11.2;7;1
454;7.0;0.23;0.4;1.6;0.063;21.0;67.0;0.9952;3.5;0.63;11.1;5;0
455;11.3;0.62;0.67;5.2;0.086;6.0;19.0;0.9988;3.22;0.69;13.4;8;1
456;8.9;0.59;0.39;2.3;0.095;5.0;22.0;0.9986;3.37;0.58;10.3;5;0
457;9.2;0.63;0.21;2.7;0.09699999999999999;29.0;65.0;0.9988;3.28;0.58;9.6;5;0
458;10.4;0.33;0.63;2.8;0.084;5.0;22.0;0.9998;3.26;0.74;11.2;7;1
461;8.3;0.615;0.22;2.6;0.087;6.0;19.0;0.9982;3.26;0.61;9.3;5;0
462;11.0;0.26;0.68;2.55;0.085;10.0;25.0;0.997;3.18;0.61;11.8;5;0
463;8.1;0.66;0.7;2.2;0.098;25.0;129.0;0.9972;3.08;0.53;9.0;5;0
465;10.0;0.29;0.4;2.9;0.098;10.0;26.0;1.0006;3.48;0.91;9.7;5;0
469;8.7;0.82;0.02;1.2;0.07;36.0;48.0;0.9952;3.2;0.58;9.8;5;0
470;13.0;0.32;0.65;2.6;0.09300000000000001;15.0;47.0;0.9996;3.05;0.61;10.6;5;0
473;9.9;0.35;0.55;2.1;0.062;5.0;14.0;0.9971;3.26;0.79;10.6;5;0
475;9.6;0.68;0.24;2.2;0.087;5.0;28.0;0.9988;3.14;0.6;10.2;5;0
476;9.3;0.27;0.41;2.0;0.091;6.0;16.0;0.998;3.28;0.7;9.7;5;0
478;9.6;0.68;0.24;2.2;0.087;5.0;28.0;0.9988;3.14;0.6;10.2;5;0
480;10.6;0.28;0.39;2.463948362720403;0.069;6.0;23.0;1.0026;3.12;0.66;9.2;5;0
481;9.4;0.3;0.56;2.8;0.08;6.0;17.0;0.9964;3.15;0.92;11.7;8;1
482;10.6;0.36;0.59;2.2;0.152;6.0;18.0;0.9986;3.04;1.05;9.4;5;0
483;10.6;0.36;0.6;2.2;0.152;7.0;18.0;0.9986;3.04;1.06;9.4;5;0
485;10.2;0.67;0.39;1.9;0.054000000000000006;6.0;17.0;0.9976;3.17;0.47;10.0;5;0
486;10.2;0.67;0.39;1.9;0.054000000000000006;6.0;17.0;0.9976;3.17;0.47;10.0;5;0
488;11.6;0.32;0.55;2.8;0.081;35.0;67.0;1.0002;3.32;0.92;10.8;7;1
491;9.2;0.41;0.5;2.5;0.055;12.0;25.0;0.9952;3.34;0.79;13.3;7;1
492;8.9;0.4;0.51;2.6;0.052000000000000005;13.0;27.0;0.995;3.32;0.9;13.4;7;1
495;10.7;0.35;0.53;2.6;0.07;5.0;16.0;0.9972;3.15;0.65;11.0;8;1
497;7.2;0.34;0.32;2.5;0.09;43.0;113.0;0.9966;3.32;0.79;11.1;5;0
498;10.7;0.35;0.53;2.6;0.07;5.0;16.0;0.9972;3.15;0.65;11.0;8;1
501;10.4;0.44;0.73;6.55;0.07400000000000001;38.0;76.0;0.9990000000000001;3.17;0.85;12.0;7;1
502;10.4;0.44;0.73;6.55;0.07400000000000001;38.0;76.0;0.9990000000000001;3.17;0.85;12.0;7;1
503;10.5;0.26;0.47;1.9;0.078;6.0;24.0;0.9976;3.18;1.04;10.9;7;1
504;10.5;0.24;0.42;1.8;0.077;6.0;22.0;0.9976;3.21;1.05;10.8;7;1
505;10.2;0.49;0.63;2.9;0.07200000000000001;10.0;26.0;0.9968;3.16;0.78;12.5;7;1
506;10.4;0.24;0.46;1.8;0.075;6.0;21.0;0.9976;3.25;1.02;10.8;7;1
509;13.3;0.29;0.75;2.8;0.084;23.0;43.0;0.9986;3.04;0.68;11.4;7;1
510;12.4;0.42;0.49;4.6;0.073;19.0;43.0;0.9978;3.02;0.61;9.5;5;0
513;10.5;0.51;0.64;2.4;0.107;6.0;15.0;0.9973;3.09;0.66;11.8;7;1
514;10.5;0.51;0.64;2.4;0.107;6.0;15.0;0.9973;3.09;0.66;11.8;7;1
515;8.5;0.655;0.49;6.1;0.122;34.0;151.0;1.001;3.31;1.14;9.3;5;0
519;7.3;0.365;0.49;2.5;0.08800000000000001;39.0;106.0;0.9966;3.36;0.78;11.0;5;0
521;7.6;0.41;0.49;2.0;0.08800000000000001;16.0;43.0;0.998;3.48;0.64;9.1;5;0
522;8.2;0.39;0.49;2.3;0.099;47.0;133.0;0.9979;3.38;0.99;9.8;5;0
523;9.3;0.4;0.49;2.5;0.085;38.0;142.0;0.9978;3.22;0.55;9.4;5;0
524;9.2;0.43;0.49;2.4;0.086;23.0;116.0;0.9976;3.23;0.64;9.5;5;0
525;10.4;0.64;0.24;2.8;0.105;29.0;53.0;0.9998;3.24;0.67;9.9;5;0
526;7.3;0.365;0.49;2.5;0.08800000000000001;39.0;106.0;0.9966;3.36;0.78;11.0;5;0
529;9.9;0.63;0.24;2.4;0.077;6.0;33.0;0.9974;3.09;0.57;9.4;5;0
531;11.9;0.38;0.49;2.7;0.098;12.0;42.0;1.0004;3.16;0.61;10.3;5;0
532;11.9;0.38;0.49;2.7;0.098;12.0;42.0;1.0004;3.16;0.61;10.3;5;0
536;9.9;0.63;0.24;2.4;0.077;6.0;33.0;0.9974;3.09;0.57;9.4;5;0
538;12.9;0.35;0.49;5.8;0.066;5.0;35.0;1.0014;3.2;0.66;12.0;7;1
539;11.2;0.5;0.74;5.15;0.1;5.0;17.0;0.9996;3.22;0.62;11.2;5;0
540;9.2;0.59;0.24;3.3;0.10099999999999999;20.0;47.0;0.9988;3.26;0.67;9.6;5;0
542;9.3;0.715;0.24;2.1;0.07;5.0;20.0;0.9966;3.12;0.59;9.9;5;0
545;9.1;0.47;0.49;2.6;0.094;38.0;106.0;0.9982;3.08;0.59;9.1;5;0
553;5.0;1.04;0.24;1.6;0.05;32.0;96.0;0.9934;3.74;0.62;11.5;5;0
554;15.5;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;2.92;0.74;11.1;5;0
555;15.5;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;2.92;0.74;11.1;5;0
557;15.6;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;2.92;0.74;11.1;5;0
560;12.7;0.6;0.49;2.8;0.075;5.0;19.0;0.9994;3.14;0.57;11.4;5;0
561;9.0;0.44;0.49;2.4;0.078;26.0;121.0;0.9978;3.23;0.58;9.2;5;0
562;9.0;0.54;0.49;2.9;0.094;41.0;110.0;0.9982;3.08;0.61;9.2;5;0
565;12.7;0.6;0.49;2.8;0.075;5.0;19.0;0.9994;3.14;0.57;11.4;5;0
572;10.2;0.24;0.49;2.4;0.075;10.0;28.0;0.9978;3.14;0.61;10.4;5;0
573;10.5;0.59;0.49;2.1;0.07;14.0;47.0;0.9991;3.3;0.56;9.6;4;0
576;9.9;0.5;0.24;2.3;0.10300000000000001;6.0;14.0;0.9978;3.34;0.52;10.0;4;0
577;8.8;0.44;0.49;2.8;0.083;18.0;111.0;0.9982;3.3;0.6;9.5;5;0
578;8.8;0.47;0.49;2.9;0.085;17.0;110.0;0.9982;3.29;0.6;9.8;5;0
580;12.3;0.5;0.49;2.2;0.08900000000000001;5.0;14.0;1.0002;3.19;0.44;9.6;5;0
581;12.3;0.5;0.49;2.2;0.08900000000000001;5.0;14.0;1.0002;3.19;0.44;9.6;5;0
582;11.7;0.49;0.49;2.2;0.083;5.0;15.0;1.0;3.19;0.43;9.2;5;0
583;12.0;0.28;0.49;1.9;0.07400000000000001;10.0;21.0;0.9976;2.98;0.66;9.9;7;1
584;11.8;0.33;0.49;3.4;0.09300000000000001;54.0;80.0;1.0002;3.3;0.76;10.7;7;1
586;11.1;0.31;0.49;2.7;0.094;16.0;47.0;0.9986;3.12;1.02;10.6;7;1
587;7.3;0.73;0.24;1.9;0.10800000000000001;18.0;102.0;0.9967;3.26;0.59;9.3;5;0
588;5.0;0.42;0.24;2.0;0.06;19.0;50.0;0.9917;3.72;0.74;14.0;8;1
589;10.2;0.29;0.49;2.6;0.059000000000000004;5.0;13.0;0.9976;3.05;0.74;10.5;7;1
590;9.0;0.45;0.49;2.6;0.084;21.0;75.0;0.9987;3.35;0.57;9.7;5;0
592;9.0;0.45;0.49;2.6;0.084;21.0;75.0;0.9987;3.35;0.57;9.7;5;0
593;9.9;0.49;0.58;3.5;0.094;9.0;43.0;1.0004;3.29;0.58;9.0;5;0
594;7.9;0.72;0.17;2.6;0.096;20.0;38.0;0.9978;3.4;0.53;9.5;5;0
595;8.9;0.595;0.41;7.9;0.086;30.0;109.0;0.9998;3.27;0.57;9.3;5;0
600;8.2;0.915;0.27;2.1;0.08800000000000001;7.0;23.0;0.9962;3.26;0.47;10.0;4;0
602;7.7;0.835;0.0;2.6;0.081;6.0;14.0;0.9975;3.3;0.52;9.3;5;0
606;9.4;0.41;0.48;4.6;0.07200000000000001;10.0;20.0;0.9973;3.34;0.79;12.2;7;1
610;8.8;0.24;0.54;2.5;0.083;25.0;57.0;0.9983;3.39;0.54;9.2;5;0
611;13.2;0.38;0.55;2.7;0.081;5.0;16.0;1.0006;2.98;0.54;9.4;5;0
613;8.2;0.39;0.38;1.5;0.057999999999999996;10.0;29.0;0.9962;3.26;0.74;9.8;5;0
615;9.6;0.6;0.5;2.3;0.079;28.0;71.0;0.9997;3.5;0.57;9.7;5;0
616;9.6;0.6;0.5;2.3;0.079;28.0;71.0;0.9997;3.5;0.57;9.7;5;0
618;11.4;0.46;0.5;2.7;0.122;4.0;17.0;1.0006;3.13;0.7;10.2;5;0
619;11.3;0.37;0.41;2.3;0.08800000000000001;6.0;16.0;0.9988;3.09;0.8;9.3;5;0
620;8.3;0.54;0.24;3.4;0.076;16.0;112.0;0.9976;3.27;0.61;9.4;5;0
621;8.2;0.56;0.23;3.4;0.078;14.0;104.0;0.9976;3.28;0.62;9.4;5;0
622;10.0;0.58;0.22;1.9;0.08;9.0;32.0;0.9974;3.13;0.55;9.5;5;0
624;6.8;0.69;0.0;5.6;0.124;21.0;58.0;0.9997;3.46;0.72;10.2;5;0
625;6.8;0.69;0.0;5.6;0.124;21.0;58.0;0.9997;3.46;0.72;10.2;5;0
626;8.8;0.6;0.29;2.2;0.098;5.0;15.0;0.9988;3.36;0.49;9.1;5;0
627;8.8;0.6;0.29;2.2;0.098;5.0;15.0;0.9988;3.36;0.49;9.1;5;0
629;7.6;0.685;0.23;2.3;0.111;20.0;84.0;0.9964;3.21;0.61;9.3;5;0
631;10.4;0.28;0.54;2.7;0.105;5.0;19.0;0.9988;3.25;0.63;9.5;5;0
633;10.1;0.935;0.22;3.4;0.105;11.0;86.0;1.001;3.43;0.64;11.3;4;0
634;7.9;0.35;0.21;1.9;0.073;46.0;102.0;0.9964;3.27;0.58;9.5;5;0
635;8.7;0.84;0.0;1.4;0.065;24.0;33.0;0.9954;3.27;0.55;9.7;5;0
636;9.6;0.88;0.28;2.4;0.086;30.0;147.0;0.9979;3.24;0.53;9.4;5;0
637;9.5;0.885;0.27;2.3;0.084;31.0;145.0;0.9978;3.24;0.53;9.4;5;0
638;7.7;0.915;0.12;2.2;0.14300000000000002;7.0;23.0;0.9964;3.35;0.65;10.2;7;1
640;9.9;0.54;0.45;2.3;0.071;16.0;40.0;0.9991;3.39;0.62;9.4;5;0
641;9.5;0.59;0.44;2.3;0.071;21.0;68.0;0.9992;3.46;0.63;9.5;5;0
642;9.9;0.54;0.45;2.3;0.071;16.0;40.0;0.9991;3.39;0.62;9.4;5;0
643;9.5;0.59;0.44;2.3;0.071;21.0;68.0;0.9992;3.46;0.63;9.5;5;0
644;9.9;0.54;0.45;2.3;0.071;16.0;40.0;0.9991;3.39;0.62;9.4;5;0
645;7.8;0.64;0.1;6.0;0.115;5.0;11.0;0.9984;3.37;0.69;10.1;7;1
646;7.3;0.67;0.05;3.6;0.107;6.0;20.0;0.9972;3.4;0.63;10.1;5;0
647;8.3;0.845;0.01;2.2;0.07;5.0;14.0;0.9967;3.32;0.58;11.0;4;0
648;8.7;0.48;0.3;2.8;0.066;10.0;28.0;0.9964;3.33;0.67;11.2;7;1
650;10.7;0.43;0.39;2.2;0.106;8.0;32.0;0.9986;2.89;0.5;9.6;5;0
651;9.8;0.88;0.25;2.5;0.10400000000000001;35.0;155.0;1.001;3.41;0.67;11.2;5;0
652;15.9;0.36;0.65;7.5;0.096;22.0;71.0;0.9976;2.98;0.84;14.9;5;0
654;8.6;0.47;0.47;2.4;0.07400000000000001;7.0;29.0;0.9979;3.08;0.46;9.5;5;0
655;9.7;0.55;0.17;2.9;0.087;20.0;53.0;1.0004;3.14;0.61;9.4;5;0
656;10.7;0.43;0.39;2.2;0.106;8.0;32.0;0.9986;2.89;0.5;9.6;5;0
657;12.0;0.5;0.59;1.4;0.073;23.0;42.0;0.998;2.92;0.68;10.5;7;1
659;7.1;0.84;0.02;4.4;0.096;5.0;13.0;0.997;3.41;0.57;11.0;4;0
661;7.5;0.42;0.31;1.6;0.08;15.0;42.0;0.9978;3.31;0.64;9.0;5;0
664;12.1;0.4;0.52;2.0;0.092;15.0;54.0;1.0;3.03;0.66;10.2;5;0
665;9.4;0.59;0.14;2.0;0.084;25.0;48.0;0.9981;3.14;0.56;9.7;5;0
668;10.0;0.73;0.43;2.3;0.059000000000000004;15.0;31.0;0.9966;3.15;0.57;11.0;5;0
670;6.9;0.4;0.24;2.5;0.083;30.0;45.0;0.9959;3.26;0.58;10.0;5;0
671;8.2;0.73;0.21;1.7;0.07400000000000001;5.0;13.0;0.9968;3.2;0.52;9.5;5;0
672;9.8;1.24;0.34;2.0;0.079;32.0;151.0;0.998;3.15;0.53;9.5;5;0
673;8.2;0.73;0.21;1.7;0.07400000000000001;5.0;13.0;0.9968;3.2;0.52;9.5;5;0
675;9.3;0.41;0.39;2.2;0.064;12.0;31.0;0.9984;3.26;0.65;10.2;5;0
677;8.6;0.8;0.11;2.3;0.084;12.0;31.0;0.9979;3.4;0.48;9.9;5;0
678;8.3;0.78;0.1;2.6;0.081;45.0;87.0;0.9983;3.48;0.53;10.0;5;0
679;10.8;0.26;0.45;3.3;0.06;20.0;49.0;0.9972;3.13;0.54;9.6;5;0
680;13.3;0.43;0.58;1.9;0.07;15.0;40.0;1.0004;3.06;0.49;9.0;5;0
682;8.5;0.46;0.31;2.25;0.078;32.0;58.0;0.998;3.33;0.54;9.8;5;0
683;8.1;0.78;0.23;2.6;0.059000000000000004;5.0;15.0;0.997;3.37;0.56;11.3;5;0
684;9.8;0.98;0.32;2.3;0.078;35.0;152.0;0.998;3.25;0.48;9.4;5;0
685;8.1;0.78;0.23;2.6;0.059000000000000004;5.0;15.0;0.997;3.37;0.56;11.3;5;0
686;7.1;0.65;0.18;1.8;0.07;13.0;40.0;0.997;3.44;0.6;9.1;5;0
687;9.1;0.64;0.23;3.1;0.095;13.0;38.0;0.9998;3.28;0.59;9.7;5;0
688;7.7;0.66;0.04;1.6;0.039;4.0;9.0;0.9962;3.4;0.47;9.4;5;0
689;8.1;0.38;0.48;1.8;0.157;5.0;17.0;0.9976;3.3;1.05;9.4;5;0
691;9.2;0.92;0.24;2.6;0.087;12.0;93.0;0.9998;3.48;0.54;9.8;5;0
692;8.6;0.49;0.51;2.0;0.08294229549778061;16.0;62.0;0.9979;3.03;1.17;9.0;5;0
693;9.0;0.48;0.32;2.8;0.084;21.0;122.0;0.9984;3.32;0.62;9.4;5;0
694;9.0;0.47;0.31;2.7;0.084;24.0;125.0;0.9984;3.31;0.61;9.4;5;0
698;9.4;0.615;0.28;3.2;0.087;18.0;72.0;1.0001;3.31;0.53;9.7;5;0
703;7.5;0.38;0.48;2.6;0.073;22.0;84.0;0.9972;3.32;0.7;9.6;4;0
704;9.1;0.765;0.04;1.6;0.078;4.0;14.0;0.998;3.29;0.54;9.7;4;0
705;8.4;1.035;0.15;6.0;0.073;11.0;54.0;0.9990000000000001;3.37;0.49;9.9;5;0
706;7.0;0.78;0.08;2.0;0.09300000000000001;10.0;19.0;0.9956;3.4;0.47;10.0;5;0
707;7.4;0.49;0.19;3.0;0.077;16.0;37.0;0.9966;3.37;0.51;10.5;5;0
710;10.6;1.025;0.43;2.8;0.08;21.0;84.0;0.9985;3.06;0.57;10.1;5;0
711;8.9;0.565;0.34;3.0;0.09300000000000001;16.0;112.0;0.9998;3.38;0.61;9.5;5;0
712;8.7;0.69;0.0;3.2;0.084;13.0;33.0;0.9992;3.36;0.45;9.4;5;0
713;8.0;0.43;0.36;2.3;0.075;10.0;48.0;0.9976;3.34;0.46;9.4;5;0
714;9.9;0.74;0.28;2.6;0.078;21.0;77.0;0.998;3.28;0.51;9.8;5;0
716;8.0;0.43;0.36;2.3;0.075;10.0;48.0;0.9976;3.34;0.46;9.4;5;0
717;7.6;0.46;0.11;2.6;0.079;12.0;49.0;0.9968;3.21;0.57;10.0;5;0
718;8.4;0.56;0.04;2.0;0.08199999999999999;10.0;22.0;0.9976;3.22;0.44;9.6;5;0
719;7.1;0.66;0.0;3.9;0.086;17.0;45.0;0.9976;3.46;0.54;9.5;5;0
720;8.4;0.56;0.04;2.0;0.08199999999999999;10.0;22.0;0.9976;3.22;0.44;9.6;5;0
721;8.9;0.48;0.24;2.85;0.094;35.0;106.0;0.9982;3.1;0.53;9.2;5;0
722;7.6;0.42;0.08;2.7;0.084;15.0;48.0;0.9968;3.21;0.59;10.0;5;0
723;7.1;0.31;0.3;2.2;0.053;36.0;127.0;0.9965;2.94;0.652495285983658;9.5;5;0
724;7.5;1.115;0.1;3.1;0.086;5.0;12.0;0.9958;3.54;0.6;11.2;4;0
725;9.0;0.66;0.17;3.0;0.077;5.0;13.0;0.9976;3.29;0.55;10.4;5;0
727;6.4;0.57;0.02;1.8;0.067;4.0;11.0;0.997;3.46;0.68;9.5;5;0
728;6.4;0.57;0.02;1.8;0.067;4.0;11.0;0.997;3.46;0.68;9.5;5;0
730;9.5;0.55;0.66;2.3;0.08294229549778061;12.0;37.0;0.9982;3.17;0.67;9.6;5;0
731;8.9;0.875;0.13;3.45;0.08800000000000001;4.0;14.0;0.9994;3.44;0.52;11.5;5;0
732;7.3;0.835;0.03;2.1;0.092;10.0;19.0;0.9966;3.39;0.47;9.6;5;0
733;7.0;0.45;0.34;2.7;0.08199999999999999;16.0;72.0;0.998;3.55;0.6;9.5;5;0
734;7.7;0.56;0.2;2.0;0.075;9.0;39.0;0.9987;3.48;0.62;9.3;5;0
735;7.7;0.965;0.1;2.1;0.11199999999999999;11.0;22.0;0.9963;3.26;0.5;9.5;5;0
736;7.7;0.965;0.1;2.1;0.11199999999999999;11.0;22.0;0.9963;3.26;0.5;9.5;5;0
738;9.0;0.46;0.23;2.8;0.092;28.0;104.0;0.9983;3.1;0.56;9.2;5;0
739;9.0;0.69;0.0;2.4;0.08800000000000001;19.0;38.0;0.9990000000000001;3.35;0.6;9.3;5;0
741;9.2;0.53;0.24;2.6;0.078;28.0;139.0;0.9978799999999999;3.21;0.57;9.5;5;0
742;6.5;0.615;0.0;1.9;0.065;9.0;18.0;0.9972;3.46;0.65;9.2;5;0
743;11.6;0.41;0.58;2.8;0.096;25.0;101.0;1.00024;3.13;0.53;10.0;5;0
744;11.1;0.39;0.54;2.7;0.095;21.0;101.0;1.0001;3.13;0.51;9.5;5;0
747;8.6;0.33;0.4;2.6;0.083;16.0;68.0;0.99782;3.3;0.48;9.4;5;0
750;8.3;0.65;0.1;2.9;0.08900000000000001;17.0;40.0;0.99803;3.29;0.55;9.5;5;0
751;8.3;0.65;0.1;2.9;0.08900000000000001;17.0;40.0;0.99803;3.29;0.55;9.5;5;0
752;7.6;0.54;0.13;2.5;0.09699999999999999;24.0;66.0;0.99785;3.39;0.61;9.4;5;0
753;8.3;0.65;0.1;2.9;0.08900000000000001;17.0;40.0;0.99803;3.29;0.55;9.5;5;0
757;8.1;0.87;0.0;2.2;0.084;10.0;31.0;0.99656;3.25;0.5;9.8;5;0
758;8.1;0.87;0.0;2.2;0.084;10.0;31.0;0.99656;3.25;0.5;9.8;5;0
759;8.8;0.42;0.21;2.5;0.092;33.0;88.0;0.99823;3.19;0.52;9.2;5;0
760;9.0;0.58;0.25;2.8;0.075;9.0;104.0;0.99779;3.23;0.57;9.7;5;0
761;9.3;0.655;0.26;2.0;0.096;5.0;35.0;0.9973799999999999;3.25;0.42;9.6;5;0
763;9.3;0.655;0.26;2.0;0.096;5.0;35.0;0.9973799999999999;3.25;0.42;9.6;5;0
766;8.8;0.59;0.18;2.9;0.08900000000000001;12.0;74.0;0.9973799999999999;3.14;0.54;9.4;5;0
767;7.5;0.6;0.32;2.7;0.10300000000000001;13.0;98.0;0.9993799999999999;3.45;0.62;9.5;5;0
769;7.9;0.72;0.01;1.9;0.076;7.0;32.0;0.9966799999999999;3.39;0.54;9.6;5;0
771;9.4;0.685;0.26;2.4;0.08199999999999999;23.0;143.0;0.9978;3.28;0.55;9.4;5;0
772;9.5;0.57;0.27;2.3;0.08199999999999999;23.0;144.0;0.99782;3.27;0.55;9.4;5;0
775;7.2;1.0;0.0;3.0;0.102;7.0;16.0;0.9958600000000001;3.43;0.46;10.0;5;0
778;8.3;0.43;0.3;3.4;0.079;7.0;34.0;0.9978799999999999;3.36;0.61;10.5;5;0
779;7.1;0.52;0.03;2.6;0.076;21.0;92.0;0.99745;3.5;0.6;9.8;5;0
781;6.5;0.46;0.14;2.4;0.114;9.0;37.0;0.9973200000000001;3.66;0.65;9.8;5;0
782;9.0;0.82;0.05;2.4;0.081;26.0;96.0;0.9981399999999999;3.36;0.53;10.0;5;0
783;6.5;0.46;0.14;2.4;0.114;9.0;37.0;0.9973200000000001;3.66;0.65;9.8;5;0
784;7.1;0.59;0.01;2.5;0.077;20.0;85.0;0.99746;3.55;0.59;9.8;5;0
785;9.9;0.35;0.41;2.3;0.083;11.0;61.0;0.9982;3.21;0.5;9.5;5;0
786;9.9;0.35;0.41;2.3;0.083;11.0;61.0;0.9982;3.21;0.5;9.5;5;0
789;8.6;0.63;0.17;2.9;0.099;21.0;119.0;0.998;3.09;0.52;9.3;5;0
791;8.8;0.64;0.17;2.9;0.084;25.0;130.0;0.99818;3.23;0.54;9.6;5;0
793;7.7;0.6;0.0;2.6;0.055;7.0;13.0;0.99639;3.38;0.56;10.8;5;0
795;10.8;0.89;0.3;2.6;0.132;7.0;60.0;0.9978600000000001;2.99;1.18;10.2;5;0
796;8.7;0.46;0.31;2.5;0.126;24.0;64.0;0.99746;3.1;0.74;9.6;5;0
797;9.3;0.37;0.44;1.6;0.038;21.0;42.0;0.99526;3.24;0.81;10.8;7;1
800;7.2;0.61;0.08;4.0;0.08199999999999999;26.0;108.0;0.99641;3.25;0.51;9.4;5;0
801;8.6;0.55;0.09;3.3;0.068;8.0;17.0;0.99735;3.23;0.44;10.0;5;0
802;5.1;0.585;0.0;1.7;0.044000000000000004;14.0;86.0;0.99264;3.56;0.94;12.9;7;1
805;8.2;0.28;0.4;2.4;0.052000000000000005;4.0;10.0;0.99356;3.33;0.7;12.8;7;1
806;8.4;0.25;0.39;2.0;0.040999999999999995;4.0;10.0;0.9938600000000001;3.27;0.71;12.5;7;1
807;8.2;0.28;0.4;2.4;0.052000000000000005;4.0;10.0;0.99356;3.33;0.7;12.8;7;1
808;7.4;0.53;0.12;1.9;0.165;4.0;12.0;0.99702;3.26;0.86;9.2;5;0
810;7.3;0.49;0.1;2.6;0.068;4.0;14.0;0.9956200000000001;3.3;0.47;10.5;5;0
812;10.8;0.45;0.33;2.5;0.099;20.0;38.0;0.99818;3.24;0.71;10.8;5;0
813;6.9;0.39;0.24;2.1;0.102;4.0;7.0;0.9946200000000001;3.44;0.58;11.4;4;0
815;10.8;0.45;0.33;2.5;0.099;20.0;38.0;0.99818;3.24;0.71;10.8;5;0
818;7.1;0.715;0.0;2.35;0.071;21.0;47.0;0.9963200000000001;3.29;0.45;9.4;5;0
819;9.1;0.66;0.15;3.2;0.09699999999999999;9.0;59.0;0.99976;3.28;0.54;9.6;5;0
820;7.0;0.685;0.0;1.9;0.099;9.0;22.0;0.9960600000000001;3.34;0.6;9.7;5;0
821;4.9;0.42;0.0;2.1;0.048;16.0;42.0;0.99154;3.71;0.74;14.0;7;1
822;6.7;0.54;0.13;2.0;0.076;15.0;36.0;0.9973;3.61;0.64;9.8;5;0
823;6.7;0.54;0.13;2.0;0.076;15.0;36.0;0.9973;3.61;0.64;9.8;5;0
824;7.1;0.48;0.28;2.8;0.068;6.0;16.0;0.99682;3.24;0.53;10.3;5;0
825;7.1;0.46;0.14;2.8;0.076;15.0;37.0;0.99624;3.36;0.49;10.7;5;0
826;7.5;0.27;0.34;2.3;0.05;4.0;8.0;0.9951;3.4;0.64;11.0;7;1
827;7.1;0.46;0.14;2.8;0.076;15.0;37.0;0.99624;3.36;0.49;10.7;5;0
828;7.8;0.57;0.09;2.3;0.065;34.0;45.0;0.9941700000000001;3.46;0.74;12.7;8;1
830;7.5;0.685;0.07;2.5;0.057999999999999996;5.0;9.0;0.9963200000000001;3.38;0.55;10.9;4;0
833;11.6;0.47;0.44;1.6;0.147;36.0;51.0;0.99836;3.38;0.86;9.9;4;0
834;8.8;0.685;0.26;1.6;0.08800000000000001;16.0;23.0;0.9969399999999999;3.32;0.47;9.4;5;0
835;7.6;0.665;0.1;1.5;0.066;27.0;55.0;0.99655;3.39;0.51;9.3;5;0
